op,dms_update_ts,date,typeid,schema_name,ingest_hour,ingest_year,ingest_month,ingest_day
I,46:49.4,26/1/23,1,dbo,8,2022,1,7
I,47:33.5,13/2/23,1,dbo,8,2022,1,7
I,47:33.5,7/4/23,1,dbo,8,2022,1,7
I,47:33.5,8/4/23,1,dbo,8,2022,1,7
I,47:33.5,10/4/23,1,dbo,8,2022,1,7
I,47:33.5,25/4/23,1,dbo,8,2022,1,7
I,47:33.5,12/6/23,1,dbo,8,2022,1,7
I,59:43.6,3/1/22,1,dbo,8,2022,1,7
I,45:24.6,26/1/22,1,dbo,8,2022,1,7
I,45:26.6,14/3/22,1,dbo,8,2022,1,7
I,45:42.1,15/4/22,1,dbo,8,2022,1,7
I,45:42.1,16/4/22,1,dbo,8,2022,1,7
I,45:52.1,18/4/22,1,dbo,8,2022,1,7
I,45:52.1,25/4/22,1,dbo,8,2022,1,7
I,46:02.2,3/10/22,1,dbo,8,2022,1,7
