"op","dms_update_ts","date","typeid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2022-01-06 21:51:17.007000","2023-01-07","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-08","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-09","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-10","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-11","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-12","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-13","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-14","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-15","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-16","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-17","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-18","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-19","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-20","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-21","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-22","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-23","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-24","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-25","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-26","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-27","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-28","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:51:17.007000","2023-01-29","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:56.297000","2024-03-11","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:56.297000","2024-03-29","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:56.297000","2024-03-30","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:56.297000","2024-04-01","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:49:32.937000","2024-04-25","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:49:32.937000","2024-06-10","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:49:32.937000","2024-10-07","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:49:32.937000","2024-12-25","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:49:32.937000","2024-12-26","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:47:49.530000","2022-06-13","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:17.343000","2023-10-02","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:39.233000","2023-12-25","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:39.233000","2023-12-26","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:39.233000","2024-01-01","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:48:39.233000","2024-01-26","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:46:49.360000","2022-12-26","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:46:49.360000","2022-12-27","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:46:49.360000","2023-01-02","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:46:49.360000","2023-01-26","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:47:33.487000","2023-02-13","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:47:33.487000","2023-04-07","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:47:33.487000","2023-04-08","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:47:33.487000","2023-04-10","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:47:33.487000","2023-04-25","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:47:33.487000","2023-06-12","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:59:43.587000","2022-01-03","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:45:24.613000","2022-01-26","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:45:26.600000","2022-03-14","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:45:42.133000","2022-04-15","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:45:42.133000","2022-04-16","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:45:52.150000","2022-04-18","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:45:52.150000","2022-04-25","1","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:46:02.160000","2022-10-03","1","dbo","BTSpecialDays","08","2022","01","07"
