"op","dms_update_ts","id","createdat","linkid","prioritytype","incidenttype","expirytime","expireusingexcessdelay","isactive","parentincidentid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"D","2022-01-30 19:31:09.510000","238671","2022-01-31 05:45:30.0000000 +10:30","1061","5","3","",,,"0","dbo","BeaconIncidents","06","2022","01","31"
"I","2021-12-31 14:06:39.263000","236899","2022-01-01 00:36:00.0000000 +10:30","3878","5","0","",,,"236884","dbo","BeaconIncidents","00","2022","01","01"
"D","2021-12-31 14:06:39.263000","236888","2021-12-31 23:51:00.0000000 +10:30","1453","5","3","",,,"236894","dbo","BeaconIncidents","00","2022","01","01"
"U","2022-01-17 21:14:32.427000","237697","2022-01-18 07:38:31.0000000 +10:30","627","5","1","",,,"0","dbo","BeaconIncidents","07","2022","01","18"
"D","2022-01-05 07:11:42.240000","237049","2022-01-05 17:24:31.0000000 +10:30","1794","5","0","",,,"0","dbo","BeaconIncidents","17","2022","01","05"
"I","2022-01-31 03:12:23.593000","238700","2022-01-31 13:42:00.0000000 +10:30","1804","5","0","",,,"0","dbo","BeaconIncidents","13","2022","01","31"
"D","2022-01-06 21:54:31.927000","237124","2022-01-07 08:21:30.0000000 +10:30","1454","5","0","",,,"0","dbo","BeaconIncidents","08","2022","01","07"
"I","2022-01-05 10:36:42.283000","237051","2022-01-05 21:06:30.0000000 +10:30","3787","5","0","",,,"0","dbo","BeaconIncidents","21","2022","01","05"
"I","2022-01-31 08:34:42.467000","238734","2022-01-31 19:04:30.0000000 +10:30","1453","5","0","",,,"0","dbo","BeaconIncidents","19","2022","01","31"
"I","2022-01-08 11:46:34.563000","237196","2022-01-08 22:16:30.0000000 +10:30","2469","5","0","",,,"0","dbo","BeaconIncidents","22","2022","01","08"
"D","2021-12-31 15:51:22.320000","236905","2022-01-01 02:11:00.0000000 +10:30","3585","5","0","",,,"0","dbo","BeaconIncidents","02","2022","01","01"
"I","2022-01-04 06:05:26.117000","237008","2022-01-04 16:35:01.0000000 +10:30","1485","5","0","",,,"0","dbo","BeaconIncidents","16","2022","01","04"
"D","2022-01-04 07:02:15.400000","237009","2022-01-04 16:41:00.0000000 +10:30","3249","5","0","",,,"0","dbo","BeaconIncidents","17","2022","01","04"
"D","2022-01-01 00:10:42.223000","236919","2022-01-01 10:36:30.0000000 +10:30","3484","5","0","",,,"0","dbo","BeaconIncidents","10","2022","01","01"
"D","2022-01-04 17:58:42.697000","237027","2022-01-05 04:11:00.0000000 +10:30","2636","5","0","",,,"0","dbo","BeaconIncidents","04","2022","01","05"
"D","2022-01-02 10:38:00.257000","236961","2022-01-02 20:13:30.0000000 +10:30","3705","5","0","",,,"0","dbo","BeaconIncidents","21","2022","01","02"
"D","2022-01-16 21:15:42.510000","237621","2022-01-16 22:37:30.0000000 +10:30","3355","5","0","",,,"0","dbo","BeaconIncidents","07","2022","01","17"
"D","2022-01-03 06:14:34.953000","236985","2022-01-03 16:28:30.0000000 +10:30","1847","5","0","",,,"0","dbo","BeaconIncidents","16","2022","01","03"
"D","2022-01-30 14:10:42.397000","238655","2022-01-30 18:04:30.0000000 +10:30","1061","5","3","",,,"0","dbo","BeaconIncidents","00","2022","01","31"
"I","2022-01-23 10:03:09.317000","238189","2022-01-23 20:32:00.0000000 +10:30","1821","5","0","",,,"0","dbo","BeaconIncidents","20","2022","01","23"
"D","2022-01-03 10:22:42.430000","236987","2022-01-03 20:49:30.0000000 +10:30","3784","5","0","",,,"0","dbo","BeaconIncidents","20","2022","01","03"
"U","2022-01-08 05:05:24.810000","237182","2022-01-08 15:34:00.0000000 +10:30","1450","5","0","",,,"237183","dbo","BeaconIncidents","15","2022","01","08"
"I","2022-01-08 05:05:24.810000","237183","2022-01-08 15:35:00.0000000 +10:30","1452","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","08"
"D","2022-01-31 05:06:24.903000","238704","2022-01-31 15:02:30.0000000 +10:30","3158","5","3","",,,"0","dbo","BeaconIncidents","15","2022","01","31"
"D","2022-01-31 05:06:24.903000","238705","2022-01-31 15:14:00.0000000 +10:30","2931","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","31"
"I","2022-01-31 04:32:25.310000","238703","2022-01-31 15:02:00.0000000 +10:30","704","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","31"
"U","2022-01-31 04:32:39.627000","238703","2022-01-31 15:02:00.0000000 +10:30","704","5","3","",,,"0","dbo","BeaconIncidents","15","2022","01","31"
"I","2022-01-31 04:32:39.627000","238704","2022-01-31 15:02:30.0000000 +10:30","3158","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","31"
"U","2022-01-31 04:33:24.603000","238704","2022-01-31 15:02:30.0000000 +10:30","3158","5","3","",,,"0","dbo","BeaconIncidents","15","2022","01","31"
"D","2022-01-31 05:51:34.800000","238710","2022-01-31 15:43:00.0000000 +10:30","2119","5","0","",,,"0","dbo","BeaconIncidents","16","2022","01","31"
"D","2022-01-04 08:15:26.497000","237017","2022-01-04 18:00:00.0000000 +10:30","2695","6","4","",,,"0","dbo","BeaconIncidents","18","2022","01","04"
"D","2022-01-07 03:50:35.193000","237149","2022-01-07 14:00:00.0000000 +10:30","2233","5","0","",,,"0","dbo","BeaconIncidents","14","2022","01","07"
"D","2022-01-01 07:44:42.687000","236927","2022-01-01 18:09:30.0000000 +10:30","3549","5","3","",,,"0","dbo","BeaconIncidents","18","2022","01","01"
"D","2022-01-17 05:31:50.230000","237661","2022-01-17 15:21:00.0000000 +10:30","334","5","3","",,,"0","dbo","BeaconIncidents","16","2022","01","17"
"I","2022-01-02 01:49:07.317000","236949","2022-01-02 12:15:01.0000000 +10:30","100","5","0","",,,"0","dbo","BeaconIncidents","12","2022","01","02"
"D","2022-01-02 01:49:07.317000","236948","2022-01-02 12:01:30.0000000 +10:30","3101","5","0","",,,"0","dbo","BeaconIncidents","12","2022","01","02"
"I","2022-01-05 12:50:42.280000","237058","2022-01-05 23:20:30.0000000 +10:30","2632","5","0","",,,"0","dbo","BeaconIncidents","23","2022","01","05"
"I","2022-01-17 12:47:43.063000","237691","2022-01-17 23:17:30.0000000 +10:30","1485","5","0","",,,"0","dbo","BeaconIncidents","23","2022","01","17"
"D","2022-01-17 12:47:43.063000","237688","2022-01-17 21:07:00.0000000 +10:30","241","5","3","",,,"0","dbo","BeaconIncidents","23","2022","01","17"
"I","2022-01-22 20:08:20.350000","238173","2022-01-23 06:38:00.0000000 +10:30","3846","5","0","",,,"0","dbo","BeaconIncidents","06","2022","01","23"
"U","2022-01-22 20:08:42.363000","238173","2022-01-23 06:38:00.0000000 +10:30","3846","5","3","",,,"0","dbo","BeaconIncidents","06","2022","01","23"
"D","2022-01-05 01:45:26.163000","237043","2022-01-05 11:48:30.0000000 +10:30","3279","5","14","",,,"0","dbo","BeaconIncidents","12","2022","01","05"
"D","2022-01-08 03:18:19.753000","237177","2022-01-08 13:44:00.0000000 +10:30","1485","5","0","",,,"0","dbo","BeaconIncidents","13","2022","01","08"
"D","2022-01-08 08:38:34.473000","237187","2022-01-08 19:02:30.0000000 +10:30","3484","5","0","",,,"0","dbo","BeaconIncidents","19","2022","01","08"
"I","2022-01-02 04:43:42.300000","236955","2022-01-02 15:13:30.0000000 +10:30","1453","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","02"
"D","2022-01-22 23:08:42.223000","238176","2022-01-23 09:34:30.0000000 +10:30","2633","5","0","",,,"0","dbo","BeaconIncidents","09","2022","01","23"
"D","2022-01-26 04:18:24.597000","238394","2022-01-26 14:41:00.0000000 +10:30","1260","5","3","",,,"0","dbo","BeaconIncidents","14","2022","01","26"
"D","2022-01-31 04:53:38.300000","238706","2022-01-31 15:18:00.0000000 +10:30","3706","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","31"
"D","2022-01-26 02:16:42.453000","238380","2022-01-26 12:10:31.0000000 +10:30","2715","5","0","",,,"238378","dbo","BeaconIncidents","12","2022","01","26"
"I","2022-01-26 02:17:23.943000","238386","2022-01-26 12:47:00.0000000 +10:30","563","5","0","",,,"0","dbo","BeaconIncidents","12","2022","01","26"
"I","2022-01-03 01:24:42.440000","236970","2022-01-03 11:54:33.0000000 +10:30","2648","5","0","",,,"236969","dbo","BeaconIncidents","11","2022","01","03"
