"op","instance_id","id","name","activity_id","entry_status_username","startenddescription","enabled","stdevadjustmultiplier","schema_name","status_date","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:38.771810","172","514 - Hampstead Rd to SE Freeway","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771815","173","514 - Hampstead Rd to Kent Town","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771820","174","514 - Hampstead Rd to Hindmarsh","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771824","175","514 - Hampstead Rd to Payneham","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771829","176","519 - Magill Rd to Hackney Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771834","177","519 - Magill Rd to Greenhill Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771839","178","519 - Magill Rd to SE Freeway","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771844","179","519 - Magill Rd to North East Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771848","180","610 - Black Rd VMS to Daws Rd via Marion Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771853","181","610 - Black Rd VMS to Anzac Hwy via Marion Rd","1","610 - Black Rd VMS to Anzac Hwy via Marion Rd","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771860","182","610 - Black Rd VMS to Daws Rd via South Rd","1","Black/Flagstaff/South Rd (NB)","Black Rd to Daws Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771866","183","610 - Black Rd VMS to Anzac Hwy via South Rd","1","610 - Black Rd VMS to Anzac Hwy via South Rd","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
