"op","dms_update_ts","id","name","organizationid","sourceidtype","sourceid","enabled","trackedvehicletypeid","notes","createdat","createdbyid","deletedat","deletedbyid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:41.247054","28","BUS 52","1","1","000195142CE1","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247065","29","BUS 53","1","1","000195142BF1","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247075","30","BUS 54","1","1","000195142BFC","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247086","31","BUS 55","1","1","0001951F82AC","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247097","32","BUS 56","1","1","0001951290C2","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247108","33","944065","1","1","0001951290DF","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247119","34","945045","1","1","00019510CF1C","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247130","35","947008","1","1","0001951290D2","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247140","36","944064","1","1","00019511E53A","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247151","37","947015","1","1","00019511E52A","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247162","38","944108","1","1","000195142CCA","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247173","39","BUS 8","1","1","00019511E584","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247184","40","BUS 9","1","1","000195142CE2","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247195","41","BUS 10","1","1","00019511E9E7","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247206","42","BUS 11","1","1","000195142CF0","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247217","43","BUS 12","1","1","000195142BF8","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247228","44","BUS 13","1","1","000195142D0E","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247239","45","BUS 16","1","1","000195142CE8","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247250","46","BUS 17","1","1","000195142BEE","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247261","47","BUS 18","1","1","00019511E563","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247272","48","BUS 19","1","1","000195142D00","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247283","49","BUS 20","1","1","00019511E562","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247294","50","BUS 21","1","1","0001951290DE","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247305","51","BUS 22","1","1","000195142CC0","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247315","52","BUS 23","1","1","0001951290D1","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247326","53","BUS 24","1","1","000195142D18","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247337","54","BUS 66","1","1","000195142CC9","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247348","55","BUS 67","1","1","00019511E55B","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247359","56","BUS 68","1","1","0001951D1C69","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247369","57","BUS 69","1","1","00019511E550","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247380","58","BUS 70","1","1","0001951D1C95","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247391","59","BUS 71","1","1","000195142D05","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247402","60","BUS 72","1","1","00019511E554","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247413","61","BUS 73","1","1","0001951F82B4","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247424","62","BUS 74","1","1","0001951290BA","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247435","63","BUS 75","1","1","00019511E551","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247446","64","BUS 76","1","1","00019511E52C","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247457","65","BUS 77","1","1","0001951D1C74","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247468","66","BUS 78","1","1","00019511E57F","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247479","67","BUS 60","1","1","00019511E9D5","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
