Route Id,Stop Id (Gtfs History Prod.Stops.Csv),Stop Name,Stop Id (Gtfs History Prod.Stops.Csv),Stop Lat,Stop Lon
M44T,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
M44C,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
M44,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
989,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
101,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
M44,4607,Stop 19 Marion Rd - East side,"4,607",-34.98633518,138.5565734
989,4607,Stop 19 Marion Rd - East side,"4,607",-34.98633518,138.5565734
971,4607,Stop 19 Marion Rd - East side,"4,607",-34.98633518,138.5565734
101,4607,Stop 19 Marion Rd - East side,"4,607",-34.98633518,138.5565734
M44T,4566,Stop 18 Marion Rd - West side,"4,566",-34.98469,138.55623
M44C,4566,Stop 18 Marion Rd - West side,"4,566",-34.98469,138.55623
M44,4566,Stop 18 Marion Rd - West side,"4,566",-34.98469,138.55623
989,4566,Stop 18 Marion Rd - West side,"4,566",-34.98469,138.55623
101,4566,Stop 18 Marion Rd - West side,"4,566",-34.98469,138.55623
M44,4564,Stop 18 Marion Rd - East side,"4,564",-34.98408,138.55645
989,4564,Stop 18 Marion Rd - East side,"4,564",-34.98408,138.55645
971,4564,Stop 18 Marion Rd - East side,"4,564",-34.98408,138.55645
101,4564,Stop 18 Marion Rd - East side,"4,564",-34.98408,138.55645
M44T,4526,Stop 17 Marion Rd - West side,"4,526",-34.98135698,138.5559692
M44C,4526,Stop 17 Marion Rd - West side,"4,526",-34.98135698,138.5559692
M44,4526,Stop 17 Marion Rd - West side,"4,526",-34.98135698,138.5559692
989,4526,Stop 17 Marion Rd - West side,"4,526",-34.98135698,138.5559692
101,4526,Stop 17 Marion Rd - West side,"4,526",-34.98135698,138.5559692
M44,4519,Stop 17 Marion Rd - East side,"4,519",-34.98126,138.55618
989,4519,Stop 17 Marion Rd - East side,"4,519",-34.98126,138.55618
971,4519,Stop 17 Marion Rd - East side,"4,519",-34.98126,138.55618
101,4519,Stop 17 Marion Rd - East side,"4,519",-34.98126,138.55618
M44T,4481,Stop 16 Marion Rd - West side,"4,481",-34.97866,138.55582
M44C,4481,Stop 16 Marion Rd - West side,"4,481",-34.97866,138.55582
M44,4481,Stop 16 Marion Rd - West side,"4,481",-34.97866,138.55582
989,4481,Stop 16 Marion Rd - West side,"4,481",-34.97866,138.55582
988,4481,Stop 16 Marion Rd - West side,"4,481",-34.97866,138.55582
987,4481,Stop 16 Marion Rd - West side,"4,481",-34.97866,138.55582
633,4481,Stop 16 Marion Rd - West side,"4,481",-34.97866,138.55582
101,4481,Stop 16 Marion Rd - West side,"4,481",-34.97866,138.55582
M44,4490,Stop 16 Marion Rd - East side,"4,490",-34.978904,138.556011
991,4490,Stop 16 Marion Rd - East side,"4,490",-34.978904,138.556011
989,4490,Stop 16 Marion Rd - East side,"4,490",-34.978904,138.556011
970,4490,Stop 16 Marion Rd - East side,"4,490",-34.978904,138.556011
960,4490,Stop 16 Marion Rd - East side,"4,490",-34.978904,138.556011
101,4490,Stop 16 Marion Rd - East side,"4,490",-34.978904,138.556011
M44T,4424,Stop 15 Marion Rd - West side,"4,424",-34.97612,138.55555
M44C,4424,Stop 15 Marion Rd - West side,"4,424",-34.97612,138.55555
M44,4424,Stop 15 Marion Rd - West side,"4,424",-34.97612,138.55555
989,4424,Stop 15 Marion Rd - West side,"4,424",-34.97612,138.55555
988,4424,Stop 15 Marion Rd - West side,"4,424",-34.97612,138.55555
987,4424,Stop 15 Marion Rd - West side,"4,424",-34.97612,138.55555
633,4424,Stop 15 Marion Rd - West side,"4,424",-34.97612,138.55555
101,4424,Stop 15 Marion Rd - West side,"4,424",-34.97612,138.55555
M44,4423,Stop 15 Marion Rd - East side,"4,423",-34.97654,138.55582
991,4423,Stop 15 Marion Rd - East side,"4,423",-34.97654,138.55582
989,4423,Stop 15 Marion Rd - East side,"4,423",-34.97654,138.55582
970,4423,Stop 15 Marion Rd - East side,"4,423",-34.97654,138.55582
960,4423,Stop 15 Marion Rd - East side,"4,423",-34.97654,138.55582
101,4423,Stop 15 Marion Rd - East side,"4,423",-34.97654,138.55582
M44T,4388,Stop 14 Marion Rd - West side,"4,388",-34.97288,138.55528
M44C,4388,Stop 14 Marion Rd - West side,"4,388",-34.97288,138.55528
M44,4388,Stop 14 Marion Rd - West side,"4,388",-34.97288,138.55528
989,4388,Stop 14 Marion Rd - West side,"4,388",-34.97288,138.55528
988,4388,Stop 14 Marion Rd - West side,"4,388",-34.97288,138.55528
987,4388,Stop 14 Marion Rd - West side,"4,388",-34.97288,138.55528
633,4388,Stop 14 Marion Rd - West side,"4,388",-34.97288,138.55528
101,4388,Stop 14 Marion Rd - West side,"4,388",-34.97288,138.55528
M44,4387,Stop 14 Marion Rd - East side,"4,387",-34.97311,138.55554
991,4387,Stop 14 Marion Rd - East side,"4,387",-34.97311,138.55554
989,4387,Stop 14 Marion Rd - East side,"4,387",-34.97311,138.55554
970,4387,Stop 14 Marion Rd - East side,"4,387",-34.97311,138.55554
960,4387,Stop 14 Marion Rd - East side,"4,387",-34.97311,138.55554
101,4387,Stop 14 Marion Rd - East side,"4,387",-34.97311,138.55554
M44T,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
M44C,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
M44,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
989,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
988,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
987,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
633,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
248F,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
248,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
245,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
101,4339,Stop 13 Marion Rd - West side,"4,339",-34.97026,138.55508
M44,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
991,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
989,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
970,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
960,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
248F,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
248A,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
248,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
245,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
101,4336,Stop 13 Marion Rd - East side,"4,336",-34.96948,138.5553
M44T,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
M44C,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
M44,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
990,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
987,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
633,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
248F,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
248,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
245,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
101,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
100P,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
100N,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
100B,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
100,4257,Stop 12 Marion Rd - West side,"4,257",-34.96628492,138.5548016
M44,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
248F,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
248A,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
248,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
245,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
101,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
100P,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
100C,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
100,4259,Stop 12 Marion Rd - East side,"4,259",-34.96677173,138.5550684
H20C,4172,Stop 11 Marion Rd - West side,"4,172",-34.96298904,138.5545973
H20,4172,Stop 11 Marion Rd - West side,"4,172",-34.96298904,138.5545973
101,4172,Stop 11 Marion Rd - West side,"4,172",-34.96298904,138.5545973
100N,4172,Stop 11 Marion Rd - West side,"4,172",-34.96298904,138.5545973
100B,4172,Stop 11 Marion Rd - West side,"4,172",-34.96298904,138.5545973
100,4172,Stop 11 Marion Rd - West side,"4,172",-34.96298904,138.5545973
101,4174,Stop 11 Marion Rd - East side,"4,174",-34.96295781,138.5548445
100P,4174,Stop 11 Marion Rd - East side,"4,174",-34.96295781,138.5548445
100C,4174,Stop 11 Marion Rd - East side,"4,174",-34.96295781,138.5548445
100,4174,Stop 11 Marion Rd - East side,"4,174",-34.96295781,138.5548445
H20C,4125,Stop 10 Marion Rd - West side,"4,125",-34.95880716,138.5542923
H20,4125,Stop 10 Marion Rd - West side,"4,125",-34.95880716,138.5542923
167,4125,Stop 10 Marion Rd - West side,"4,125",-34.95880716,138.5542923
101,4125,Stop 10 Marion Rd - West side,"4,125",-34.95880716,138.5542923
100N,4125,Stop 10 Marion Rd - West side,"4,125",-34.95880716,138.5542923
100B,4125,Stop 10 Marion Rd - West side,"4,125",-34.95880716,138.5542923
100,4125,Stop 10 Marion Rd - West side,"4,125",-34.95880716,138.5542923
H20,4149,Stop 10 Marion Rd - East side,"4,149",-34.96080358,138.5546867
101,4149,Stop 10 Marion Rd - East side,"4,149",-34.96080358,138.5546867
100P,4149,Stop 10 Marion Rd - East side,"4,149",-34.96080358,138.5546867
100C,4149,Stop 10 Marion Rd - East side,"4,149",-34.96080358,138.5546867
100,4149,Stop 10 Marion Rd - East side,"4,149",-34.96080358,138.5546867
GLNELG,101439,Stop 10 Marion Rd,"101,439",-34.96744,138.554638
FESTVL,101439,Stop 10 Marion Rd,"101,439",-34.96744,138.554638
GLNELG,6757,Stop 10 Marion Rd,"6,757",-34.967003,138.555326
FESTVL,6757,Stop 10 Marion Rd,"6,757",-34.967003,138.555326
J8,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
J7,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
H20C,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
H20,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
167,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
101,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
100N,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
100B,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
100,4078,Stop 9C Marion Rd - West side,"4,078",-34.95712773,138.5541746
J8,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
J7M,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
J7,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
H20,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
167C,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
167,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
101,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
100P,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
100C,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
100,4070,Stop 9C Marion Rd - East side,"4,070",-34.95691124,138.554382
J8,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
J7,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
H20C,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
H20,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
167,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
101,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
100N,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
100B,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
100,4056,Stop 9B Marion Rd - West side,"4,056",-34.95563098,138.5540532
J8,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
J7M,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
J7,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
H20,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
167C,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
167,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
101,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
100P,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
100C,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
100,4049,Stop 9B Marion Rd - East side,"4,049",-34.95535441,138.5542875
J8,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
J7,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
H20C,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
