Route Short Name,Route Id,Trip Id,Stop Id (Gtfs History Prod.Stops.Csv)
719,719,642657,100850
719,719,642657,4916
719,719,642657,4856
719,719,642657,4811
719,719,642657,4763
719,719,642657,4708
719,719,642657,4668
719,719,642657,4627
719,719,642657,4575
719,719,642657,4548
719,719,642657,4480
719,719,642657,4381
719,719,642657,4320
719,719,642657,4211
719,719,642657,4159
719,719,642657,4121
719,719,642658,100850
719,719,642658,4916
719,719,642658,4856
719,719,642658,4811
719,719,642658,4763
719,719,642658,4708
719,719,642658,4668
719,719,642658,4627
719,719,642658,4575
719,719,642658,4548
719,719,642658,4480
719,719,642658,4381
719,719,642658,4320
719,719,642658,4211
719,719,642658,4159
719,719,642658,4121
719,719,642659,100850
719,719,642659,4916
719,719,642659,4856
719,719,642659,4811
719,719,642659,4763
719,719,642659,4708
719,719,642659,4668
719,719,642659,4627
719,719,642659,4575
719,719,642659,4548
719,719,642659,4480
719,719,642659,4381
719,719,642659,4320
719,719,642659,4211
719,719,642659,4159
719,719,642659,4121
719,719,642660,100850
719,719,642660,4916
719,719,642660,4856
719,719,642660,4811
719,719,642660,4763
719,719,642660,4708
719,719,642660,4668
719,719,642660,4627
719,719,642660,4575
719,719,642660,4548
719,719,642660,4480
719,719,642660,4381
719,719,642660,4320
719,719,642660,4211
719,719,642660,4159
719,719,642660,4121
719,719,642661,100850
719,719,642661,4916
719,719,642661,4856
719,719,642661,4811
719,719,642661,4763
719,719,642661,4708
719,719,642661,4668
719,719,642661,4627
719,719,642661,4575
719,719,642661,4548
719,719,642661,4480
719,719,642661,4381
719,719,642661,4320
719,719,642661,4211
719,719,642661,4159
719,719,642661,4121
719,719,642662,100850
719,719,642662,4916
719,719,642662,4856
719,719,642662,4811
719,719,642662,4763
719,719,642662,4708
719,719,642662,4668
719,719,642662,4627
719,719,642662,4575
719,719,642662,4548
719,719,642662,4480
719,719,642662,4381
719,719,642662,4320
719,719,642662,4211
719,719,642662,4159
719,719,642662,4121
719,719,642663,100850
719,719,642663,4916
719,719,642663,4856
719,719,642663,4811
719,719,642663,4763
719,719,642663,4708
719,719,642663,4668
719,719,642663,4627
719,719,642663,4575
719,719,642663,4548
719,719,642663,4480
719,719,642663,4381
719,719,642663,4320
719,719,642663,4211
719,719,642663,4159
719,719,642663,4121
719,719,642664,100850
719,719,642664,4916
719,719,642664,4856
719,719,642664,4811
719,719,642664,4763
719,719,642664,4708
719,719,642664,4668
719,719,642664,4627
719,719,642664,4575
719,719,642664,4548
719,719,642664,4480
719,719,642664,4381
719,719,642664,4320
719,719,642664,4211
719,719,642664,4159
719,719,642664,4121
719,719,642665,100850
719,719,642665,4916
719,719,642665,4856
719,719,642665,4811
719,719,642665,4763
719,719,642665,4708
719,719,642665,4668
719,719,642665,4627
719,719,642665,4575
719,719,642665,4548
719,719,642665,4480
719,719,642665,4381
719,719,642665,4320
719,719,642665,4211
719,719,642665,4159
719,719,642665,4121
719,719,642666,100850
719,719,642666,4916
719,719,642666,4856
719,719,642666,4811
719,719,642666,4763
719,719,642666,4708
719,719,642666,4668
719,719,642666,4627
719,719,642666,4575
719,719,642666,4548
719,719,642666,4480
719,719,642666,4381
719,719,642666,4320
719,719,642666,4211
719,719,642666,4159
719,719,642666,4121
719,719,642667,100850
719,719,642667,4916
719,719,642667,4856
719,719,642667,4811
719,719,642667,4763
719,719,642667,4708
719,719,642667,4668
719,719,642667,4627
719,719,642667,4575
719,719,642667,4548
719,719,642667,4480
719,719,642667,4381
719,719,642667,4320
719,719,642667,4211
719,719,642667,4159
719,719,642667,4121
719,719,642668,100850
719,719,642668,4916
719,719,642668,4856
719,719,642668,4811
719,719,642668,4763
719,719,642668,4708
719,719,642668,4668
719,719,642668,4627
719,719,642668,4575
719,719,642668,4548
719,719,642668,4480
719,719,642668,4381
719,719,642668,4320
719,719,642668,4211
719,719,642668,4159
719,719,642668,4121
719,719,642669,100850
719,719,642669,4916
719,719,642669,4856
719,719,642669,4811
719,719,642669,4763
719,719,642669,4708
719,719,642669,4668
719,719,642669,4627
719,719,642669,4575
719,719,642669,4548
719,719,642669,4480
719,719,642669,4381
719,719,642669,4320
719,719,642669,4211
719,719,642669,4159
719,719,642669,4121
719,719,642670,100850
719,719,642670,4916
719,719,642670,4856
719,719,642670,4811
719,719,642670,4763
719,719,642670,4708
719,719,642670,4668
719,719,642670,4627
719,719,642670,4575
719,719,642670,4548
719,719,642670,4480
719,719,642670,4381
719,719,642670,4320
719,719,642670,4211
719,719,642670,4159
719,719,642670,4121
719,719,642671,100850
719,719,642671,4916
719,719,642671,4856
719,719,642671,4811
719,719,642671,4763
719,719,642671,4708
719,719,642671,4668
719,719,642671,4627
719,719,642671,4575
719,719,642671,4548
719,719,642671,4480
719,719,642671,4381
719,719,642671,4320
719,719,642671,4211
719,719,642671,4159
719,719,642671,4121
719,719,642672,100850
719,719,642672,4916
719,719,642672,4856
719,719,642672,4811
719,719,642672,4763
719,719,642672,4708
719,719,642672,4668
719,719,642672,4627
719,719,642672,4575
719,719,642672,4548
719,719,642672,4480
719,719,642672,4381
719,719,642672,4320
719,719,642672,4211
719,719,642672,4159
719,719,642672,4121
719,719,642673,100850
719,719,642673,4916
719,719,642673,4856
719,719,642673,4811
719,719,642673,4763
719,719,642673,4708
719,719,642673,4668
719,719,642673,4627
719,719,642673,4575
719,719,642673,4548
719,719,642673,4480
719,719,642673,4381
719,719,642673,4320
719,719,642673,4211
719,719,642673,4159
719,719,642673,4121
719,719,642674,100850
719,719,642674,4916
719,719,642674,4856
719,719,642674,4811
719,719,642674,4763
719,719,642674,4708
719,719,642674,4668
719,719,642674,4627
719,719,642674,4575
719,719,642674,4548
719,719,642674,4480
719,719,642674,4381
719,719,642674,4320
719,719,642674,4211
719,719,642674,4159
719,719,642674,4121
719,719,642675,4911
719,719,642675,4852
719,719,642675,4799
719,719,642675,4761
719,719,642675,4674
719,719,642675,4626
719,719,642675,4580
719,719,642675,4524
719,719,642675,4475
719,719,642675,4390
719,719,642675,4296
719,719,642675,4213
719,719,642675,4156
719,719,642675,4095
719,719,642675,4035
719,719,642676,4911
719,719,642676,4852
719,719,642676,4799
719,719,642676,4761
719,719,642676,4674
719,719,642676,4626
719,719,642676,4580
719,719,642676,4524
719,719,642676,4475
719,719,642676,4390
719,719,642676,4296
719,719,642676,4213
719,719,642676,4156
719,719,642676,4095
719,719,642676,4035
719,719,642677,4911
719,719,642677,4852
719,719,642677,4799
719,719,642677,4761
719,719,642677,4674
719,719,642677,4626
719,719,642677,4580
719,719,642677,4524
719,719,642677,4475
719,719,642677,4390
719,719,642677,4296
719,719,642677,4213
719,719,642677,4156
719,719,642677,4095
719,719,642677,4035
719,719,642678,4911
719,719,642678,4852
719,719,642678,4799
719,719,642678,4761
719,719,642678,4674
719,719,642678,4626
719,719,642678,4580
719,719,642678,4524
719,719,642678,4475
719,719,642678,4390
719,719,642678,4296
719,719,642678,4213
719,719,642678,4156
719,719,642678,4095
719,719,642678,4035
719,719,642679,4911
719,719,642679,4852
719,719,642679,4799
719,719,642679,4761
719,719,642679,4674
719,719,642679,4626
719,719,642679,4580
719,719,642679,4524
719,719,642679,4475
719,719,642679,4390
719,719,642679,4296
719,719,642679,4213
719,719,642679,4156
719,719,642679,4095
719,719,642679,4035
719,719,642680,4911
719,719,642680,4852
719,719,642680,4799
719,719,642680,4761
719,719,642680,4674
719,719,642680,4626
719,719,642680,4580
719,719,642680,4524
719,719,642680,4475
719,719,642680,4390
719,719,642680,4296
719,719,642680,4213
719,719,642680,4156
719,719,642680,4095
719,719,642680,4035
719,719,642681,4911
719,719,642681,4852
719,719,642681,4799
719,719,642681,4761
719,719,642681,4674
719,719,642681,4626
719,719,642681,4580
719,719,642681,4524
719,719,642681,4475
719,719,642681,4390
719,719,642681,4296
719,719,642681,4213
719,719,642681,4156
719,719,642681,4095
719,719,642681,4035
719,719,642682,4911
719,719,642682,4852
719,719,642682,4799
719,719,642682,4761
719,719,642682,4674
719,719,642682,4626
719,719,642682,4580
719,719,642682,4524
719,719,642682,4475
719,719,642682,4390
719,719,642682,4296
719,719,642682,4213
719,719,642682,4156
719,719,642682,4095
719,719,642682,4035
719,719,642683,4911
719,719,642683,4852
719,719,642683,4799
719,719,642683,4761
719,719,642683,4674
719,719,642683,4626
719,719,642683,4580
719,719,642683,4524
719,719,642683,4475
719,719,642683,4390
719,719,642683,4296
719,719,642683,4213
719,719,642683,4156
719,719,642683,4095
719,719,642683,4035
719,719,642684,4911
719,719,642684,4852
719,719,642684,4799
719,719,642684,4761
719,719,642684,4674
719,719,642684,4626
719,719,642684,4580
719,719,642684,4524
719,719,642684,4475
719,719,642684,4390
719,719,642684,4296
719,719,642684,4213
719,719,642684,4156
719,719,642684,4095
719,719,642684,4035
719,719,642685,4911
719,719,642685,4852
719,719,642685,4799
719,719,642685,4761
719,719,642685,4674
719,719,642685,4626
719,719,642685,4580
719,719,642685,4524
719,719,642685,4475
719,719,642685,4390
719,719,642685,4296
719,719,642685,4213
719,719,642685,4156
719,719,642685,4095
719,719,642685,4035
719,719,642686,4911
719,719,642686,4852
719,719,642686,4799
719,719,642686,4761
719,719,642686,4674
719,719,642686,4626
719,719,642686,4580
719,719,642686,4524
719,719,642686,4475
719,719,642686,4390
719,719,642686,4296
719,719,642686,4213
719,719,642686,4156
719,719,642686,4095
719,719,642686,4035
719,719,642687,4911
719,719,642687,4852
719,719,642687,4799
719,719,642687,4761
719,719,642687,4674
719,719,642687,4626
719,719,642687,4580
719,719,642687,4524
719,719,642687,4475
719,719,642687,4390
719,719,642687,4296
719,719,642687,4213
719,719,642687,4156
719,719,642687,4095
719,719,642687,4035
719,719,642688,4911
719,719,642688,4852
719,719,642688,4799
719,719,642688,4761
719,719,642688,4674
719,719,642688,4626
719,719,642688,4580
719,719,642688,4524
719,719,642688,4475
719,719,642688,4390
719,719,642688,4296
719,719,642688,4213
719,719,642688,4156
719,719,642688,4095
719,719,642688,4035
719,719,642689,4911
719,719,642689,4852
719,719,642689,4799
719,719,642689,4761
719,719,642689,4674
719,719,642689,4626
719,719,642689,4580
719,719,642689,4524
719,719,642689,4475
719,719,642689,4390
719,719,642689,4296
719,719,642689,4213
719,719,642689,4156
719,719,642689,4095
719,719,642689,4035
719,719,642690,4911
719,719,642690,4852
719,719,642690,4799
719,719,642690,4761
719,719,642690,4674
719,719,642690,4626
719,719,642690,4580
719,719,642690,4524
719,719,642690,4475
719,719,642690,4390
719,719,642690,4296
719,719,642690,4213
719,719,642690,4156
719,719,642690,4095
719,719,642690,4035
719,719,642691,4911
719,719,642691,4852
719,719,642691,4799
719,719,642691,4761
719,719,642691,4674
719,719,642691,4626
719,719,642691,4580
719,719,642691,4524
719,719,642691,4475
719,719,642691,4390
719,719,642691,4296
719,719,642691,4213
719,719,642691,4156
719,719,642691,4095
719,719,642691,4035
719,719,642692,4911
719,719,642692,4852
719,719,642692,4799
719,719,642692,4761
719,719,642692,4674
719,719,642692,4626
719,719,642692,4580
719,719,642692,4524
719,719,642692,4475
719,719,642692,4390
719,719,642692,4296
719,719,642692,4213
719,719,642692,4156
719,719,642692,4095
719,719,642692,4035
719,719,642693,4911
719,719,642693,4852
719,719,642693,4799
719,719,642693,4761
719,719,642693,4674
719,719,642693,4626
719,719,642693,4580
719,719,642693,4524
719,719,642693,4475
719,719,642693,4390
719,719,642693,4296
719,719,642693,4213
719,719,642693,4156
719,719,642693,4095
719,719,642693,4035
720,720,642694,100850
720,720,642694,100812
720,720,642694,100811
720,720,642694,4916
