"from_stop_id","to_stop_id","transfer_type","min_transfer_time","feed_version","ingest_year","ingest_month","ingest_day","feed_version_partition"
"61","66","0",,"1175","2022","01","31","1175"
"61","6736","0",,"1175","2022","01","31","1175"
"61","101465","0",,"1175","2022","01","31","1175"
"66","61","0",,"1175","2022","01","31","1175"
"66","6736","0",,"1175","2022","01","31","1175"
"66","101465","0",,"1175","2022","01","31","1175"
"230","231","0",,"1175","2022","01","31","1175"
"230","232","0",,"1175","2022","01","31","1175"
"230","233","0",,"1175","2022","01","31","1175"
"230","235","0",,"1175","2022","01","31","1175"
"231","230","0",,"1175","2022","01","31","1175"
"231","232","0",,"1175","2022","01","31","1175"
"231","233","0",,"1175","2022","01","31","1175"
"231","235","0",,"1175","2022","01","31","1175"
"232","230","0",,"1175","2022","01","31","1175"
"232","231","0",,"1175","2022","01","31","1175"
"232","233","0",,"1175","2022","01","31","1175"
"232","235","0",,"1175","2022","01","31","1175"
"233","230","0",,"1175","2022","01","31","1175"
"233","231","0",,"1175","2022","01","31","1175"
"233","232","0",,"1175","2022","01","31","1175"
"233","235","0",,"1175","2022","01","31","1175"
"235","230","0",,"1175","2022","01","31","1175"
"235","231","0",,"1175","2022","01","31","1175"
"235","232","0",,"1175","2022","01","31","1175"
"235","233","0",,"1175","2022","01","31","1175"
"236","239","0",,"1175","2022","01","31","1175"
"236","240","0",,"1175","2022","01","31","1175"
"236","6687","0",,"1175","2022","01","31","1175"
"236","101462","0",,"1175","2022","01","31","1175"
"239","236","0",,"1175","2022","01","31","1175"
"239","240","0",,"1175","2022","01","31","1175"
"239","6687","0",,"1175","2022","01","31","1175"
"239","101462","0",,"1175","2022","01","31","1175"
"240","236","0",,"1175","2022","01","31","1175"
"240","239","0",,"1175","2022","01","31","1175"
"240","6687","0",,"1175","2022","01","31","1175"
"240","101462","0",,"1175","2022","01","31","1175"
"507","513","0",,"1175","2022","01","31","1175"
"507","515","0",,"1175","2022","01","31","1175"
"507","517","0",,"1175","2022","01","31","1175"
"507","523","0",,"1175","2022","01","31","1175"
"507","533","0",,"1175","2022","01","31","1175"
"507","7308","0",,"1175","2022","01","31","1175"
"507","7313","0",,"1175","2022","01","31","1175"
"507","100334","0",,"1175","2022","01","31","1175"
"513","507","0",,"1175","2022","01","31","1175"
"513","515","0",,"1175","2022","01","31","1175"
"513","517","0",,"1175","2022","01","31","1175"
"513","523","0",,"1175","2022","01","31","1175"
"513","533","0",,"1175","2022","01","31","1175"
"513","7308","0",,"1175","2022","01","31","1175"
"513","7313","0",,"1175","2022","01","31","1175"
"513","100334","0",,"1175","2022","01","31","1175"
"515","507","0",,"1175","2022","01","31","1175"
"515","513","0",,"1175","2022","01","31","1175"
"515","517","0",,"1175","2022","01","31","1175"
"515","523","0",,"1175","2022","01","31","1175"
"515","533","0",,"1175","2022","01","31","1175"
"515","7308","0",,"1175","2022","01","31","1175"
"515","7313","0",,"1175","2022","01","31","1175"
"515","100334","0",,"1175","2022","01","31","1175"
"517","507","0",,"1175","2022","01","31","1175"
"517","513","0",,"1175","2022","01","31","1175"
"517","515","0",,"1175","2022","01","31","1175"
"517","523","0",,"1175","2022","01","31","1175"
"517","533","0",,"1175","2022","01","31","1175"
"517","7308","0",,"1175","2022","01","31","1175"
"517","7313","0",,"1175","2022","01","31","1175"
"517","100334","0",,"1175","2022","01","31","1175"
"523","507","0",,"1175","2022","01","31","1175"
"523","513","0",,"1175","2022","01","31","1175"
"523","515","0",,"1175","2022","01","31","1175"
"523","517","0",,"1175","2022","01","31","1175"
"523","533","0",,"1175","2022","01","31","1175"
"523","7308","0",,"1175","2022","01","31","1175"
"523","7313","0",,"1175","2022","01","31","1175"
"523","100334","0",,"1175","2022","01","31","1175"
"525","526","0",,"1175","2022","01","31","1175"
"525","528","0",,"1175","2022","01","31","1175"
"525","534","0",,"1175","2022","01","31","1175"
"525","541","0",,"1175","2022","01","31","1175"
"525","543","0",,"1175","2022","01","31","1175"
"525","547","0",,"1175","2022","01","31","1175"
"525","549","0",,"1175","2022","01","31","1175"
"525","6733","1",,"1175","2022","01","31","1175"
"525","101459","1",,"1175","2022","01","31","1175"
"526","525","0",,"1175","2022","01","31","1175"
"526","528","0",,"1175","2022","01","31","1175"
"526","534","0",,"1175","2022","01","31","1175"
"526","541","0",,"1175","2022","01","31","1175"
"526","543","0",,"1175","2022","01","31","1175"
"526","547","0",,"1175","2022","01","31","1175"
"526","549","0",,"1175","2022","01","31","1175"
"526","6733","0",,"1175","2022","01","31","1175"
"526","101459","0",,"1175","2022","01","31","1175"
"528","525","0",,"1175","2022","01","31","1175"
"528","526","0",,"1175","2022","01","31","1175"
"528","534","0",,"1175","2022","01","31","1175"
"528","541","0",,"1175","2022","01","31","1175"
"528","543","0",,"1175","2022","01","31","1175"
"528","547","0",,"1175","2022","01","31","1175"
"528","549","0",,"1175","2022","01","31","1175"
"528","6733","0",,"1175","2022","01","31","1175"
"528","101459","0",,"1175","2022","01","31","1175"
"533","507","0",,"1175","2022","01","31","1175"
"533","513","0",,"1175","2022","01","31","1175"
"533","515","0",,"1175","2022","01","31","1175"
"533","517","0",,"1175","2022","01","31","1175"
"533","523","0",,"1175","2022","01","31","1175"
"533","7308","0",,"1175","2022","01","31","1175"
"533","7313","0",,"1175","2022","01","31","1175"
"533","100334","0",,"1175","2022","01","31","1175"
"534","525","0",,"1175","2022","01","31","1175"
"534","526","0",,"1175","2022","01","31","1175"
"534","528","0",,"1175","2022","01","31","1175"
"534","541","0",,"1175","2022","01","31","1175"
