"service_id","date","exception_type","feed_version","ingest_year","ingest_month","ingest_day","feed_version_partition"
"1","20220314","2","1175","2022","01","31","1175"
"1","20220415","2","1175","2022","01","31","1175"
"2","20220314","2","1175","2022","01","31","1175"
"5","20220415","2","1175","2022","01","31","1175"
"6","20220314","2","1175","2022","01","31","1175"
"7","20220415","2","1175","2022","01","31","1175"
"9","20220314","2","1175","2022","01","31","1175"
"9","20220415","2","1175","2022","01","31","1175"
"12","20220314","1","1175","2022","01","31","1175"
"12","20220415","1","1175","2022","01","31","1175"
"20","20220128","2","1175","2022","01","31","1175"
"20","20220415","2","1175","2022","01","31","1175"
"21","20220128","2","1175","2022","01","31","1175"
"21","20220314","2","1175","2022","01","31","1175"
"21","20220415","2","1175","2022","01","31","1175"
"26","20220314","2","1175","2022","01","31","1175"
"27","20220128","2","1175","2022","01","31","1175"
"27","20220415","2","1175","2022","01","31","1175"
"28","20220128","2","1175","2022","01","31","1175"
"28","20220314","2","1175","2022","01","31","1175"
"28","20220415","2","1175","2022","01","31","1175"
"44","20220128","2","1175","2022","01","31","1175"
"44","20220314","2","1175","2022","01","31","1175"
"44","20220415","2","1175","2022","01","31","1175"
"45","20220128","2","1175","2022","01","31","1175"
"45","20220314","2","1175","2022","01","31","1175"
"45","20220415","2","1175","2022","01","31","1175"
"48","20220128","2","1175","2022","01","31","1175"
"48","20220314","2","1175","2022","01","31","1175"
"48","20220415","2","1175","2022","01","31","1175"
"50","20220128","2","1175","2022","01","31","1175"
"50","20220415","2","1175","2022","01","31","1175"
"81","20220314","1","1175","2022","01","31","1175"
"81","20220415","1","1175","2022","01","31","1175"
"3001","20220314","2","1175","2022","01","31","1175"
"3001","20220415","2","1175","2022","01","31","1175"
"3003","20220314","1","1175","2022","01","31","1175"
"3003","20220415","1","1175","2022","01","31","1175"
"4501","20220128","2","1175","2022","01","31","1175"
"4501","20220314","2","1175","2022","01","31","1175"
"4501","20220415","2","1175","2022","01","31","1175"
"4503","20220314","1","1175","2022","01","31","1175"
"4503","20221225","2","1175","2022","01","31","1175"
"4506","20220128","2","1175","2022","01","31","1175"
"4506","20220415","2","1175","2022","01","31","1175"
"4509","20220314","2","1175","2022","01","31","1175"
"4601","20220314","2","1175","2022","01","31","1175"
"4601","20220415","2","1175","2022","01","31","1175"
"4601","20220128","2","1175","2022","01","31","1175"
"4603","20221225","2","1175","2022","01","31","1175"
"4603","20220314","1","1175","2022","01","31","1175"
"4603","20220415","1","1175","2022","01","31","1175"
"5201","20220314","2","1175","2022","01","31","1175"
"5201","20220415","2","1175","2022","01","31","1175"
"5201","20220128","2","1175","2022","01","31","1175"
"5201","20220311","2","1175","2022","01","31","1175"
"5201","20220408","2","1175","2022","01","31","1175"
"5202","20220226","2","1175","2022","01","31","1175"
"5202","20220402","2","1175","2022","01","31","1175"
"5202","20220423","2","1175","2022","01","31","1175"
"5202","20220430","2","1175","2022","01","31","1175"
"5212","20220311","2","1175","2022","01","31","1175"
"5212","20220408","2","1175","2022","01","31","1175"
"5212","20220128","2","1175","2022","01","31","1175"
"5212","20220415","2","1175","2022","01","31","1175"
"5214","20220314","2","1175","2022","01","31","1175"
"5301","20220311","1","1175","2022","01","31","1175"
"5302","20220226","1","1175","2022","01","31","1175"
"5302","20220402","1","1175","2022","01","31","1175"
"5302","20220430","1","1175","2022","01","31","1175"
"5601","20220128","2","1175","2022","01","31","1175"
"5601","20220314","2","1175","2022","01","31","1175"
"5601","20220415","2","1175","2022","01","31","1175"
"5602","20220129","2","1175","2022","01","31","1175"
"5603","20220130","2","1175","2022","01","31","1175"
"5603","20220314","1","1175","2022","01","31","1175"
"5603","20220415","1","1175","2022","01","31","1175"
"5606","20220128","2","1175","2022","01","31","1175"
"5606","20220415","2","1175","2022","01","31","1175"
"5607","20220314","2","1175","2022","01","31","1175"
"5607","20220415","2","1175","2022","01","31","1175"
"5607","20220128","2","1175","2022","01","31","1175"
"5608","20220128","2","1175","2022","01","31","1175"
"5608","20220314","2","1175","2022","01","31","1175"
"5608","20220415","2","1175","2022","01","31","1175"
"5609","20220314","2","1175","2022","01","31","1175"
"5612","20220415","2","1175","2022","01","31","1175"
"5612","20220128","2","1175","2022","01","31","1175"
"5613","20220128","2","1175","2022","01","31","1175"
"5613","20220314","2","1175","2022","01","31","1175"
"5613","20220415","2","1175","2022","01","31","1175"
"5614","20220314","2","1175","2022","01","31","1175"
"5616","20220314","2","1175","2022","01","31","1175"
"5616","20220415","2","1175","2022","01","31","1175"
"5616","20220128","2","1175","2022","01","31","1175"
"5618","20220314","2","1175","2022","01","31","1175"
"5625","20220415","2","1175","2022","01","31","1175"
"5625","20220128","2","1175","2022","01","31","1175"
"5626","20220128","2","1175","2022","01","31","1175"
"5626","20220415","2","1175","2022","01","31","1175"
"5627","20220314","2","1175","2022","01","31","1175"
"5627","20220415","2","1175","2022","01","31","1175"
"5627","20220128","2","1175","2022","01","31","1175"
"5628","20220128","2","1175","2022","01","31","1175"
"5628","20220415","2","1175","2022","01","31","1175"
"5629","20220128","2","1175","2022","01","31","1175"
"5629","20220314","2","1175","2022","01","31","1175"
"5629","20220415","2","1175","2022","01","31","1175"
"8501","20220314","2","1175","2022","01","31","1175"
"8501","20220415","2","1175","2022","01","31","1175"
"8503","20220314","1","1175","2022","01","31","1175"
"8503","20220415","1","1175","2022","01","31","1175"
"8601","20220314","2","1175","2022","01","31","1175"
"8601","20220415","2","1175","2022","01","31","1175"
"8603","20220314","1","1175","2022","01","31","1175"
"8603","20220415","1","1175","2022","01","31","1175"
"8608","20220314","2","1175","2022","01","31","1175"
"8608","20220415","2","1175","2022","01","31","1175"
"8801","20220314","2","1175","2022","01","31","1175"
"8801","20220415","2","1175","2022","01","31","1175"
"9401","20220415","2","1175","2022","01","31","1175"
"9402","20220415","2","1175","2022","01","31","1175"
"9403","20220415","2","1175","2022","01","31","1175"
