"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","feed_version","ingest_year","ingest_month","ingest_day","feed_version_partition"
"6346","16181.0","Stop 79A Cliff St - North side","49 Cliff Ave, Port Noarlunga South","-35.1725819978021","138.469698644026",,"http://www.adelaidemetro.com.au/stops/view/16181",,,,,"1175","2022","01","31","1175"
"100596","17694.0","Stop 81 Seaford Rd - North side","25-27 Seaford Rd, Old Noarlunga","-35.180259359396","138.49087579239",,"http://www.adelaidemetro.com.au/stops/view/17694",,,,,"1175","2022","01","31","1175"
"7307","16673.0","Stop Hail N Ride Halcyon Ave / Bushmills St","19 Bushmills St, Greenwith","-34.773309","138.702417",,"http://www.adelaidemetro.com.au/stops/view/16673",,,,,"1175","2022","01","31","1175"
"4845","14710.0","Stop 22 Cashel St - East side","46A Cashel St, St Marys","-34.99989","138.58271",,"http://www.adelaidemetro.com.au/stops/view/14710",,,,,"1175","2022","01","31","1175"
"100945","18037.0","Stop 17B Blythewood Rd - South side","5 Blythewood Rd, Torrens Park","-34.983905","138.612785",,"http://www.adelaidemetro.com.au/stops/view/18037",,,,,"1175","2022","01","31","1175"
"8121","17048.0","Stop 146 Gulf View Rd - South side","LOT 350 Gulf View Rd, Sellicks Beach","-35.339223","138.449095",,"http://www.adelaidemetro.com.au/stops/view/17048",,,,,"1175","2022","01","31","1175"
"1307","11262.0","Stop 46 Fairfax Rd - West side","23 Fairfax Rd, Ingle Farm","-34.82691","138.65372",,"http://www.adelaidemetro.com.au/stops/view/11262",,,,,"1175","2022","01","31","1175"
"4942","14807.0","Stop 32 King George Ave - East side","41A King George Ave, North Brighton","-35.0078286571901","138.51857706008",,"http://www.adelaidemetro.com.au/stops/view/14807",,,,,"1175","2022","01","31","1175"
"5618","15462.0","Stop 50D Minnipa Dr - North side","12-14 Minnipa Dr, Hallett Cove","-35.07273","138.5074",,"http://www.adelaidemetro.com.au/stops/view/15462",,,,,"1175","2022","01","31","1175"
"3620","13502.0","Stop 6 Grant Ave - South side","130 Grant Ave, Toorak Gardens","-34.931683","138.637891",,"http://www.adelaidemetro.com.au/stops/view/13502",,,,,"1175","2022","01","31","1175"
"6964","16613.0","Stop 59 Great Eastern Ave - North East side","12 Great Eastern Ave, Sheidow Park","-35.0808092735253","138.530947897639",,"http://www.adelaidemetro.com.au/stops/view/16613",,,,,"1175","2022","01","31","1175"
"6639","16467.0","Stop 22 Henley Beach Rd - South side","541 Henley Beach Rd, Fulham","-34.926959","138.507879",,"http://www.adelaidemetro.com.au/stops/view/16467",,,,,"1175","2022","01","31","1175"
"1660","11586.0","Stop 26 Main North Rd - West side","576-580 Main North Rd, Gepps Cross","-34.84541","138.60198",,"http://www.adelaidemetro.com.au/stops/view/11586",,,,,"1175","2022","01","31","1175"
"7282","16657.0","Stop 22 Waite Rd - West side","24 Waite Rd, Urrbrae","-34.9678496360877","138.635708710396",,"http://www.adelaidemetro.com.au/stops/view/16657",,,,,"1175","2022","01","31","1175"
"1406","11358.0","Stop 31 Scott St - West side","37 Scott St, Pooraka","-34.831848","138.613619",,"http://www.adelaidemetro.com.au/stops/view/11358",,,,,"1175","2022","01","31","1175"
"5599","15444.0","Stop 49 Homestead Dr - North West side","101-105 Homestead Dr, Aberfoyle Park","-35.070433875444","138.609301733671",,"http://www.adelaidemetro.com.au/stops/view/15444",,,,,"1175","2022","01","31","1175"
"100414","17514.0","Stop 38 Shepherdson Rd - South West side","124 Shepherdson Rd, Parafield Gardens","-34.781400942608","138.607430361291",,"http://www.adelaidemetro.com.au/stops/view/17514",,,,,"1175","2022","01","31","1175"
"6612","16441.0","Stop 24 Henley Beach Rd - North side","49 Henley Beach Rd, Henley Beach South","-34.925278","138.501088",,"http://www.adelaidemetro.com.au/stops/view/16441",,,,,"1175","2022","01","31","1175"
"3178","13069.0","Stop 5 Hill St - North East side","Hill St, North Adelaide","-34.9103051915406","138.587912410761",,"http://www.adelaidemetro.com.au/stops/view/13069",,,,,"1175","2022","01","31","1175"
